name,lng,lat,category,address,poi_type,rating,avg_cost,source,comment_num,popularity,season_winter,season_summer,sort_score,activity_type,amap_uid,coord_source,match_status,drift_m,needs_review,coord_fixed_on
太阳门,126.5910692,45.7858913,景点,警备路3号太阳岛风景区内,旅游景点,5.0,,baidu,27.0,27.0,0.9,0.7,0.9168052075772122,0,,baidu_wgs2gcj,none,,False,2026-09-04
哈尔滨特别市公署旧址,126.619891,45.768739,景点,哈尔滨市道里区中央大街32号,旅游景点,5.0,,baidu,27.0,27.0,0.9,0.7,0.9168052075772122,0,B0FFIGB4NB,amap,exact,1.1,False,2026-09-04
三五将军文化博物馆,126.5065885,45.5503089,景点,哈尔滨市双城区将军路与铭亮路交叉口东150米,旅游景点;博物馆,5.0,,baidu,27.0,27.0,0.9,0.7,0.9168052075772122,0,,baidu_wgs2gcj,none,,False,2026-09-04
红豆杉景区,128.026027,44.660905,景点,哈尔滨市五常市X164号,旅游景点;其他,5.0,,baidu,26.0,26.0,0.9,0.7,0.91490856299904,0,B0LAV18D91,amap,exact,68.1,False,2026-09-04
松花江,126.683135,45.820001,景点,哈尔滨市道外区,旅游景点;风景区,4.7,,baidu,62.0,62.0,0.9,0.7,0.9147235816142553,0,B0G0SS0Z3L,amap,exact,21648.5,True,2026-09-04
犹太新会堂旧址,126.616811,45.76838,景点,黑龙江省哈尔滨市道里区经纬街162号,旅游景点;文物古迹,4.7,,baidu,60.0,60.0,0.9,0.7,0.9138618961762708,0,B01C305NPA,amap,exact,8.9,False,2026-09-04
炫腹健身瘦身连锁工作室(哈西壹品新境店),126.583326,45.694856,景点,哈西街道南兴街78号壹品新境门市(壹品茶城),运动健身;健身中心,4.9,,baidu,43.0,43.0,0.9,0.7,0.9131641182944248,0,B0FFJOIK6E,amap,exact,1.5,False,2026-09-04
秋林洋行道里分行旧址,126.619088,45.773791,景点,哈尔滨市道里区中央大街107号,旅游景点,5.0,,baidu,25.0,25.0,0.9,0.7,0.9130072353478353,0,B0FFG7R0G7,amap,contains,7.0,False,2026-09-04
鲁商体育公园,126.621607,45.680597,景点,黑龙江省哈尔滨市南岗区学府路与跃兴街交汇处东北250米,旅游景点;公园,5.0,,baidu,25.0,25.0,0.9,0.7,0.9130072353478353,0,B0HRBAVWQX,amap,exact,2.4,False,2026-09-04
亚布力虎峰岭风景区,128.9942710,44.9401443,景点,哈尔滨市尚志市G301(绥满公路),旅游景点;风景区,4.7,,baidu,58.0,58.0,1.0,0.3,0.912541269581099,0,,baidu_wgs2gcj,contains,,True,2026-09-04
哈尔滨国际会展中心-体育场,126.7069821,45.7541122,景点,黑龙江省哈尔滨市南岗区长江路217号,运动健身;体育场馆,4.7,,baidu,58.0,58.0,0.9,0.7,0.912541269581099,0,,baidu_wgs2gcj,none,,False,2026-09-04
松乐公园,126.66295,45.693588,景点,哈尔滨市香坊区松乐街与旭升南街交口处,旅游景点;公园,4.9,,baidu,42.0,42.0,0.9,0.7,0.9123867281710258,0,B0FFIFZXF8,amap,exact,30.3,False,2026-09-04
奥体健身订制工作室,126.646695,45.719883,景点,凯旋广场A座2501,运动健身;健身中心,4.9,,baidu,41.0,41.0,0.9,0.7,0.9115344088791064,0,B0FFL7CPBK,amap,exact,0.3,False,2026-09-04
7天瘦身健身工作室连锁机构(学府凯德店),126.609022,45.723016,景点,自兴街0-1号楼3楼303,运动健身;健身中心,4.9,,baidu,41.0,41.0,0.9,0.7,0.9115344088791064,0,B0FFJCSSSX,amap,exact,18.6,False,2026-09-04
独牙派台球俱乐部,126.6111469,45.7037609,景点,哈西服装城中兴大道百汇商城负一层1号9号口直达,运动健身;体育场馆,4.8,,baidu,50.0,50.0,0.9,0.7,0.9111152738426955,0,,baidu_wgs2gcj,none,,False,2026-09-04
精武泓胜泰拳散打搏击(巴黎广场店),126.65124,45.722286,景点,黑龙江省哈尔滨市香坊区和平路11号巴黎广场2楼,运动健身;体育场馆,4.8,,baidu,50.0,50.0,0.9,0.7,0.9111152738426955,0,B0KRXUSOYO,amap,contains,0.3,False,2026-09-04
恒动·普拉提,126.6947664,45.7403462,景点,红旗大街227号四通中心1001,运动健身;其他,4.8,,baidu,50.0,50.0,0.9,0.7,0.9111152738426955,0,,baidu_wgs2gcj,none,,False,2026-09-04
精武泓胜泰拳散打搏击(博物馆店),126.643344,45.756765,景点,东大直街与红军街交叉口漫天地商场6楼,运动健身;体育场馆,4.8,,baidu,50.0,50.0,0.9,0.7,0.9111152738426955,0,B0JANZN93Y,amap,contains,16.8,False,2026-09-04
木兰县松花江国家湿地公园,128.0440911,45.9418198,景点,黑龙江省哈尔滨市木兰县通江路,旅游景点;公园,5.0,,baidu,24.0,24.0,0.9,0.7,0.9110965415505655,0,,baidu_wgs2gcj,none,,False,2026-09-04
簸箕崴子景区,129.007812,44.918013,景点,哈尔滨市尚志市301国道亚布力虎峰林场内,旅游景点;公园,5.0,,baidu,23.0,23.0,0.9,0.7,0.9089376448825719,0,B0FFG71FFD,amap,contains,1.3,False,2026-09-04
伪满洲中央银行哈尔滨支行旧址,126.624604,45.767478,景点,哈尔滨市道里区田地街113号,旅游景点;文物古迹,5.0,,baidu,23.0,23.0,0.9,0.7,0.9089376448825719,0,B01C31849Z,amap,exact,12.2,False,2026-09-04
御马汇马术俱乐部,126.67605,45.663311,景点,团结路48号,运动健身;体育场馆,4.7,159.0,baidu,54.0,54.0,0.9,0.7,0.9050577188751259,0,B0FFGZS7VJ,amap,exact,6.4,False,2026-09-04
群力健康生态园,126.535728,45.70952,景点,黑龙江省哈尔滨市道里区融江路734号,旅游景点;公园,4.7,,baidu,53.0,53.0,0.9,0.7,0.9021073828646358,0,B0FFI1ZW3S,amap,exact,36.8,False,2026-09-04
伊雅·普拉提塑形馆(观江店),126.5537744,45.7447479,景点,群力第一大道 1542号门市,运动健身;其他,4.7,,baidu,53.0,53.0,0.9,0.7,0.9021073828646358,0,,baidu_wgs2gcj,none,,False,2026-09-04
TD钛镀健身工作室(远大购物中心店),126.555883,45.738194,景点,群力大道群力远大步行街B1-16号,运动健身;健身中心,4.7,,baidu,53.0,53.0,0.9,0.7,0.9021073828646358,0,B0IDUYHS6G,amap,contains,26.4,False,2026-09-04
听雨廊,126.5966311,45.7936249,景点,警备路3号太阳岛风景区内,旅游景点,5.0,,baidu,20.0,20.0,0.9,0.7,0.9016367340248672,0,,baidu_wgs2gcj,none,,False,2026-09-04
西郊公园,127.387982,46.082323,景点,哈尔滨市巴彦县甲洲路与人民大街交叉路口往东北约80米,旅游景点;公园,5.0,,baidu,20.0,20.0,0.9,0.7,0.9016367340248672,0,B01C318BX2,amap,exact,5.5,False,2026-09-04
NEVER MISS射箭俱乐部,126.607752,45.725586,景点,康宁三道街52号,运动健身;体育场馆,4.8,,baidu,43.0,43.0,0.9,0.7,0.8994310066265483,0,B0I2NZKCRL,amap,exact,5.6,False,2026-09-04
壹号铁馆24小时健身,126.612727,45.706937,景点,通发街44号(大发小商品城)4层,运动健身;健身中心,4.7,,baidu,52.0,52.0,0.9,0.7,0.8990165546631699,0,B0M6Z52DXU,amap,exact,3293.8,True,2026-09-04
中东铁路俱乐部旧址,126.635334,45.750306,景点,哈尔滨市南岗区西大直街86号,旅游景点;文物古迹,4.7,,baidu,52.0,52.0,0.9,0.7,0.8990165546631699,0,B0FFJCPVP7,amap,exact,0.2,False,2026-09-04
太阳山,126.5948495,45.7935073,景点,警备路3号太阳岛风景区内,旅游景点,5.0,,baidu,19.0,19.0,0.9,0.7,0.8987706933289625,0,,baidu_wgs2gcj,none,,False,2026-09-04
亚布力雪山水世界,128.482217,44.793036,景点,黑龙江省哈尔滨市尚志市亚雪公路亚布力滑雪旅游度假区内,旅游景点;游乐园,5.0,,baidu,19.0,19.0,1.0,0.3,0.8987706933289625,0,B0FFHG2B64,amap,exact,25.0,False,2026-09-04
东山公园,129.588159,46.33284,景点,黑龙江省哈尔滨市依兰县宏哈公路与依愚公路交叉口西60米,旅游景点;公园,5.0,,baidu,19.0,19.0,0.9,0.7,0.8987706933289625,0,B01C303234,amap,exact,579.5,True,2026-09-04
依兰县古陨石坑源峰山,129.325532,46.38137,景点,依兰县林业局,旅游景点,5.0,,baidu,19.0,19.0,0.9,0.7,0.8987706933289625,0,B0FFIJSEWQ,amap,exact,1.6,False,2026-09-04
东山怪坡,129.598597,46.336703,景点,黑龙江省哈尔滨市依兰县依愚公路北50米,旅游景点,4.8,,baidu,42.0,42.0,0.9,0.7,0.8986536165031493,0,B01C30K3ER,amap,exact,118.0,False,2026-09-04
璟言台球,126.697709,45.778221,景点,宏伟路137-4,运动健身;体育场馆,4.8,,baidu,41.0,41.0,0.9,0.7,0.8978012972112299,0,B0KK5HI8W6,amap,contains,2.0,False,2026-09-04
依兰县巴兰河源头漂流,129.258109,46.530563,景点,黑龙江省哈尔滨市依兰县依丹旅游公路丹青河畔山庄旁,运动健身;极限运动场所,5.0,,baidu,18.0,18.0,0.9,0.7,0.8957875758072447,0,B0LUTU2AFE,amap,exact,0.8,False,2026-09-04
长青公园,126.640335,45.769836,景点,哈尔滨市南极街116号,旅游景点;公园,4.7,,baidu,51.0,51.0,0.9,0.7,0.8955510806191023,0,B01C319I39,amap,contains,19.9,False,2026-09-04
和平健身(和兴商厦店),126.616622,45.73308,景点,西大直街400号和兴商厦4层（近和兴路）,运动健身;健身中心,4.8,,baidu,37.0,37.0,0.9,0.7,0.8936567775774462,0,B01C30ISDV,amap,exact,33.6,False,2026-09-04
伊维尔教堂附属孤儿院旧址,126.6290575,45.7636066,景点,黑龙江省哈尔滨市道里区工厂胡同9号,旅游景点;文物古迹,5.0,,baidu,17.0,17.0,0.9,0.7,0.8926405507293886,0,,baidu_wgs2gcj,none,,False,2026-09-04
哈尔滨索菲亚广场,126.627081,45.770624,景点,哈尔滨市道里区透笼街88号,旅游景点;其他,4.6,,baidu,92.0,92.0,0.9,0.7,0.8896293347694757,0,B01C30J89Z,amap,contains,3.7,False,2026-09-04
乌龙国家森林公园,128.891345,46.217107,景点,哈尔滨市通河县203省道,旅游景点;公园,4.9,,baidu,25.0,25.0,0.9,0.7,0.8894115718734634,0,B01C319ANA,amap,exact,0.6,False,2026-09-04
于庆成雕塑园,126.597269,45.78697,景点,警备路3号太阳岛风景区内,旅游景点;公园,5.0,,baidu,16.0,16.0,0.9,0.7,0.8891422951740933,0,B01C31A5YE,amap,exact,7.4,False,2026-09-04
雪飞岭,128.049951,44.326198,景点,黑龙江省哈尔滨市五常市山河屯林业局,旅游景点;风景区,5.0,,baidu,16.0,16.0,1.0,0.3,0.8891422951740933,0,B0H6BSEWJP,amap,exact,0.4,False,2026-09-04
会展中心游泳馆,126.7057184,45.7534559,景点,会展中心院内,运动健身;体育场馆,5.0,,baidu,16.0,16.0,0.9,0.7,0.8891422951740933,0,,baidu_wgs2gcj,none,,False,2026-09-04
