city,amap_uid,name,lng,lat,type,typecode,address,adname
大庆市,B0FFIB3IQ6,卡丁车(鹤鸣湖温泉风景区),124.540109,47.279398,风景名胜;风景名胜;风景名胜,110200,胜利村南鹤鸣湖湿地温泉度假区(西南角),林甸县
大庆市,B0FFIAYCJK,水上乐园大滑梯(鹤鸣湖风景区),124.540299,47.27956,风景名胜;风景名胜相关;旅游景点,110000,胜利村南鹤鸣湖湿地温泉度假区(西南角),林甸县
大庆市,B0FFHYOGPY,大般若禅寺,124.890926,47.102582,风景名胜;风景名胜;寺庙道观,110205,林甸镇和平村,林甸县
大庆市,B0FFG49MWT,馨屿广场,125.082874,45.530421,风景名胜;公园广场;城市广场,110105,郭尔罗斯大街与松花江大街交叉口西80米,肇源县
大庆市,B0FFFA8CMT,以马内利大庆基督教喇嘛甸教会,124.798424,46.694045,风景名胜;风景名胜;教堂,110206,093乡道南50米,让胡路区
大庆市,B0FFFA8CMK,佛光寺(松江南四路),125.06591,45.502396,风景名胜;风景名胜;寺庙道观,110205,松江南四路与松花江大街交叉口东南340米,肇源县
大庆市,B01CB0NB2F,愉景广场,125.142899,46.625739,风景名胜;公园广场;城市广场,110105,滨湖中路与滨洲西街交叉口西280米,龙凤区
大庆市,B01CB0N7FQ,九八抗洪纪念广场,124.807456,45.719296,风景名胜;公园广场;城市广场,110105,201省道东50米,肇源县
大庆市,B01CB019GC,基督福音堂,125.198413,46.458271,风景名胜;风景名胜;教堂,110206,化祥路6号,龙凤区
大庆市,B01CB0130Y,净土寺,124.419842,46.836299,风景名胜;风景名胜;寺庙道观,110205,哈萨尔路,杜尔伯特蒙古族自治县
大庆市,B01CB0033D,基督教堂,125.008095,46.637585,风景名胜;风景名胜;教堂,110206,,萨尔图区
大庆市,B0MUKHXEZK,固山水林间,124.332933,46.677816,风景名胜;风景名胜相关;旅游景点,110000,固山贝子草原东南侧,杜尔伯特蒙古族自治县
大庆市,B0MRT5XVW3,高新花海,125.157567,46.579147,风景名胜;风景名胜;风景名胜,110200,发展路与新兴大街交叉口西北160米,龙凤区
