name,lng,lat,category,address,poi_type,rating,avg_cost,source,comment_num
红姐铁板烧(宣庆小区店),126.6715055,45.7506805,餐饮,黄河路宣庆小区23栋门市,美食;外国餐厅,3.5,,baidu,7.0
luckincoffee瑞幸咖啡(透笼商场店),126.6225155,45.7697595,餐饮,石头道街58号透笼商场底商,美食;咖啡厅,4.1,15.0,baidu,34.0
宾县双泷商务酒店,127.1584098,45.757392,住宿,宾西兴宾大道6号,酒店;快捷酒店,3.2,,baidu,18.0
星驰民宿(一面街店),126.6260419,45.7701094,住宿,一面街36号5单元2层,酒店;民宿,2.4,0.0,baidu,1.0
人人镜(翰林辰霞店),126.5237583,45.8716347,购物,学院路六道街,购物;商铺,3.5,,baidu,3.0
伊莲娜俄式西餐厅,126.6081626,45.7732231,餐饮,黑龙江省哈尔滨市道里区上游街94号,美食;外国餐厅,4.4,92.0,baidu,50.0
大小姐零食馆(辰能溪树庭院店),126.5828655,45.692701,购物,辰能溪树庭院二期B14栋1-2层106号,购物;商铺,3.9,,baidu,7.0
涮涮演绎自助小火锅(太平桥百盛店),126.6752102,45.7840406,餐饮,"东直路123号,半地下,哈尔滨银行正对面",美食;中餐厅,4.2,30.0,baidu,50.0
宇诺乔氏台球棋牌(星河路店),126.6742786,45.6991244,景点,星河路与松海路交口恒大御景湾一期,运动健身;体育场馆,3.9,,baidu,28.0
高鸣石板烤肉专门店(宾西店),127.1629058,45.7544629,餐饮,宾西镇哈同公路260号荣兴商场东300米,美食;外国餐厅,3.4,39.0,baidu,2.0
爱屋民宿(东北亚大街1号分店),126.6049455,45.8229467,住宿,哈尔滨市松北区东北亚大街广信新城-B区,酒店;民宿,4.7,,baidu,0.0
爱建小屋(爱红路分店),126.5950937,45.7566179,住宿,黑龙江省哈尔滨市道里区爱红路中兴家园-13栋,酒店,4.5,,baidu,0.0
金启仓买(汉广街店),126.620439,45.7352571,购物,黑龙江省哈尔滨市南岗区汉广街31号,购物;便利店,3.5,,baidu,2.0
蜜雪冰城(新迎新街店),126.6744332,45.7955617,餐饮,迎新街132号,美食;其他,3.7,16.0,baidu,17.0
